,main_image,price_clean,year_clean,age_clean,mileage_clean,dealer_rating,location,title,subtitle,url
446,https://m.atcdn.co.uk/a/media/w480/6fc002bd69e14db398349cfaf647ef0b.jpg,22299,2022,3,23907,,Manchester (165 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £22,299",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508265767448?sort=most-recent&searchId=12ba680e-eb43-44bb-abf6-fac55932fb3d&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2022&year-to=2022&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2022%26year-to%3D2022%26refresh%3Dtrue%26flrfc%3D1
447,https://m.atcdn.co.uk/a/media/w480/08298b16f37a4c6a8edd982c4761622e.jpg,16495,2020,5,52976,,Blackburn (185 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £16,495",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508265768277?sort=most-recent&twcs=true&searchId=4f269269-b0c5-4c03-a8f3-089a8161a568&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26page%3D5%26flrfc%3D1
448,https://m.atcdn.co.uk/a/media/w480/bba35a9f095d416b8f4e78a97c2434bc.jpg,24850,2023,2,23156,,Available from Cannock (116 miles),"Tesla Model 3
Long Range Auto RWD 4dr, £24,850",Long Range Auto RWD 4dr,https://www.autotrader.co.uk/car-details/202508265768539?sort=mileage&searchId=2382330c-a441-4f31-a2d5-12b067dac3b1&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2023&year-to=2023&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmileage%26year-from%3D2023%26year-to%3D2023%26refresh%3Dtrue%26flrfc%3D1
449,https://m.atcdn.co.uk/a/media/w480/a1baf166e36242a58f8b2c5b7b4ef554.jpg,19950,2021,4,41634,,Available from Cannock (116 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £19,950",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508265768542?sort=most-recent&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
450,https://m.atcdn.co.uk/a/media/w480/91e7b0f343934215a9f341f3b54940a0.jpg,25690,2023,2,20000,,Nottingham (111 miles),"Tesla Model 3
Long Range Auto RWD 4dr, £25,690",Long Range Auto RWD 4dr,https://www.autotrader.co.uk/car-details/202508265772865?sort=most-recent&twcs=true&searchId=f7352620-2335-4c42-bf15-21106c44e642&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2023&year-to=2023&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2023%26year-to%3D2023%26refresh%3Dtrue%26flrfc%3D1
451,https://m.atcdn.co.uk/a/media/w480/e23c15464a2941da864369fc3696b932.jpg,18350,2020,5,36876,,Horley (27 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £18,350",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508265773082?sort=most-recent&searchId=5edbccfd-659a-41df-a5c5-cf36173f74a1&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2020%26year-to%3D2020%26page%3D4%26flrfc%3D1
452,https://m.atcdn.co.uk/a/media/w480/4256a95be3ef409d96f057499c5a5587.jpg,20049,2021,4,41189,,Available from Leyton (4 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £20,049",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508265773956?sort=most-recent&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
453,https://m.atcdn.co.uk/a/media/w480/080e094ad3a242ea95b0ff8dc590ac5e.jpg,13495,2020,5,87000,,Wigan (174 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £13,495",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508265775590?sort=most-recent&twcs=true&searchId=4f269269-b0c5-4c03-a8f3-089a8161a568&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2020&year-to=2020&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2020%26year-to%3D2020%26refresh%3Dtrue%26flrfc%3D1
454,https://m.atcdn.co.uk/a/media/w480/1dd5587564fd4fc4afc12c4d46e56d97.jpg,36900,2024,1,9500,,London (5 miles),"Tesla Model 3
Long Range Auto RWD 4dr, £36,900",Long Range Auto RWD 4dr,https://www.autotrader.co.uk/car-details/202508265775904?sort=most-recent&searchId=754b9490-eb5c-4358-9f3b-240146f90d3e&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2024&year-to=2024&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2024%26year-to%3D2024%26refresh%3Dtrue%26flrfc%3D1
455,https://m.atcdn.co.uk/a/media/w480/4d61c3002d684841866b8a49017ee65a.jpg,18897,2021,4,51000,,Available from Birmingham (98 miles),"Tesla Model 3
(Dual Motor) Long Range Auto 4WDE 4dr, £18,897",(Dual Motor) Long Range Auto 4WDE 4dr,https://www.autotrader.co.uk/car-details/202508265776484?sort=most-recent&searchId=3bfcd01b-80f8-4a05-894f-0337299a047f&aggregatedTrim=Long%20Range&exclude-writeoff-categories=on&make=Tesla&model=Model%203&page=1&postcode=e27bp&year-from=2021&year-to=2021&advertising-location=at_cars&fromsra&backLinkQueryParams=aggregatedTrim%3DLong%2520Range%26channel%3Dcars%26exclude-writeoff-categories%3Don%26latLong%3D%26make%3DTesla%26model%3DModel%25203%26postcode%3De27bp%26sort%3Dmost-recent%26year-from%3D2021%26year-to%3D2021%26refresh%3Dtrue%26flrfc%3D1
